repos,repo_version,option,option_count,category
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,cp,1,Filesystem
mesosphere/dcos-commons,b'1.1.21-0.10.1.0-beta,sed,1,Filesystem
mesosphere/dcos-commons,b'0.14.0,curl,1,Dependencies
mesosphere/dcos-commons,b'0.14.0,rm,2,Filesystem
mesosphere/dcos-commons,b'0.14.0,tar,1,Filesystem
mesosphere/dcos-commons,b'0.14.0,mv,1,Filesystem
mesosphere/dcos-commons,b'0.14.0,go,2,Build/Execute
mesosphere/dcos-commons,b'0.14.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.14.0,install,1,Build/Execute
mesosphere/dcos-commons,b'0.14.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.14.0,git,1,Dependencies
mesosphere/dcos-commons,b'0.14.0,cd,2,Filesystem
mesosphere/dcos-commons,b'0.14.0,cp,1,Filesystem
mesosphere/dcos-commons,b'0.14.0,sed,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,curl,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,rm,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,tar,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,mv,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,go,2,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,pip3,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,install,1,Build/Execute
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,mkdir,4,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,git,1,Dependencies
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,cd,2,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,cp,1,Filesystem
mesosphere/dcos-commons,b'HDFS_1.3.0-2.6.0-cdh5.9.1,sed,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,curl,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,rm,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,tar,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,mv,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,go,2,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,install,1,Build/Execute
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,git,1,Dependencies
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,cd,2,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,cp,1,Filesystem
mesosphere/dcos-commons,b'ELASTIC_1.0.9-5.3.0,sed,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,curl,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,rm,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,tar,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,mv,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,go,2,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,pip3,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,install,1,Build/Execute
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,mkdir,4,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,git,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,cd,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,cp,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.26-3.0.10,sed,1,Filesystem
mesosphere/dcos-commons,b'0.15.0,curl,1,Dependencies
mesosphere/dcos-commons,b'0.15.0,rm,2,Filesystem
mesosphere/dcos-commons,b'0.15.0,tar,1,Filesystem
mesosphere/dcos-commons,b'0.15.0,mv,1,Filesystem
mesosphere/dcos-commons,b'0.15.0,go,2,Build/Execute
mesosphere/dcos-commons,b'0.15.0,pip3,1,Dependencies
mesosphere/dcos-commons,b'0.15.0,install,1,Build/Execute
mesosphere/dcos-commons,b'0.15.0,mkdir,4,Filesystem
mesosphere/dcos-commons,b'0.15.0,git,1,Dependencies
mesosphere/dcos-commons,b'0.15.0,cd,2,Filesystem
mesosphere/dcos-commons,b'0.15.0,cp,1,Filesystem
mesosphere/dcos-commons,b'0.15.0,sed,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,curl,1,Dependencies
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,rm,2,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,tar,1,Filesystem
mesosphere/dcos-commons,b'CASSANDRA_1.0.27-3.0.10,mv,1,Filesystem
